Section ID,Section,HS2 ID,HS2,Trade Value,Share
1,Animal Products,101,Live animals,83026348,1.2911302269466705
1,Animal Products,102,Meat & edible offal,5720213,0.08895417041435202
1,Animal Products,103,"Fish, Crustaceans & Molluscs",10028480,0.15595138134138029
1,Animal Products,104,"Edible products of animal origin, n.e.s.",48624285,0.7561489290986229
1,Animal Products,105,"Animal originated products, n.e.s.",3672146,0.057104989109737894
2,Vegetable Products,206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",135585,0.0021084619044133353
2,Vegetable Products,207,"Edible vegetables, roots, & tubers",98060379.00000001,1.5249221776290407
2,Vegetable Products,208,"Edible fruits, nuts & fruit peels",3053878,0.047490396605273356
2,Vegetable Products,209,"Coffee, tea, mate & spices",459937,0.007152410981525658
2,Vegetable Products,210,Cereals,64363250,1.000903202192216
2,Vegetable Products,211,Products of the milling industry,7151012,0.11120431006381691
2,Vegetable Products,212,"Oils seeds, oleaginous fruits, grains, straw & fodder",39592731,0.6157005937617355
2,Vegetable Products,213,"Natural gums, resins & other vegetable extracts",661265,0.010283232372473977
2,Vegetable Products,214,"Vegetable plaiting materials & products, n.e.s.",92024,0.0014310513573900711
3,Animal and Vegetable Bi-Products,315,"Animal or vegetable fats, oils, & waxes",41827234,0.6504490132092947
4,Foodstuffs,416,"Preparations of fish, crustacenas, & molluscs",6386051,0.0993085168207448
4,Foodstuffs,417,Sugars & confectioneries,30591856,0.4757293429309918
4,Foodstuffs,418,Cocoa & cocoa preparations,789140,0.012271797228666443
4,Foodstuffs,419,"Preparations of cereals, flour, starch or milk",375095,0.005833045823917985
4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other plant parts",14370769,0.22347766326381327
4,Foodstuffs,421,Miscellaneous edible preparations,1322543,0.020566666905989055
4,Foodstuffs,422,"Beverages, spirits, & vinegar",19183866,0.2983254094506784
4,Foodstuffs,423,Food residues & wastes; animal fodder,7566545,0.11766620113234652
4,Foodstuffs,424,Tobacco & substitutes,1441137,0.02241090432968633
5,Mineral Products,525,"Salt, sulphur, cement, lime, stone, & plaster",56370343,0.8766067098441046
5,Mineral Products,526,"Ores, slag and ash",391677410,6.090916383112312
5,Mineral Products,527,"Mineral fuels, mineral oils and products of their distillation",643572312,10.008096047403573
